feature
hr_day_mean
pedo_aft_speed_max_lag3
act_day_walk_pct_lag1
gps_alt_mean
gps_lat_std_rel
charge_pct_rel
pedo_morn_speed_mean_lag1
wlight_sleep_dark_pct
act_morn_walk_pct_lag2
mlight_dark_pct
act_day_run_pct_lag3
act_day_vehicle_pct_lag1
screen_first_on_hour_rel
mlight_eve_mean_rel
screen_eve_on_pct_rel
charge_pct_lag3
hr_day_mean_lag2
wifi_rssi_max
wlight_sleep_mean_rel
gps_n_points
gps_lat_std
usage_social_sec
hr_range
hr_sleep_std_rel
wifi_rssi_max_rel
act_morn_vehicle_pct_rel
usage_n_apps
charge_night_pct_rel
hr_sleep_n_rel
charge_night_pct
wifi_unique_ssids_rel
act_morn_vehicle_pct_lag2
mlight_eve_mean
act_eve_sedentary_ratio_rel
hr_sleep_mean
pedo_eve_speed_mean_rel
usage_total_sec
act_eve_sedentary_ratio
wifi_unique_ssids_lag3
mlight_day_max_lag3
act_eve_walk_pct
charge_pct
screen_on_pct_rel
screen_late_on_pct_rel
screen_last_on_hour_lag3
pedo_morn_speed_mean_rel
wifi_rssi_max_lag1
wlight_sleep_std_rel
pedo_eve_speed_max_rel
usage_n_apps_lag1
act_eve_walk_pct_lag3
gps_n_points_rel
charge_pct_lag1
act_day_vehicle_pct_rel
usage_total_sec_lag1
act_morn_vehicle_pct
hr_day_mean_rel
usage_n_apps_rel
hr_sleep_std
mlight_day_std_lag2
mlight_dark_pct_rel
usage_social_sec_rel
wlight_sleep_dark_pct_rel
usage_total_sec_rel
wlight_sleep_dark_pct_lag1
act_morn_walk_pct
pedo_aft_speed_mean_lag3
amb_Outside_urban_or_manmade_mean_rel
act_eve_still_pct_rel
screen_late_on_count_rel
usage_social_ratio_rel
pedo_day_kcal_rel
act_aft_still_pct_rel
screen_late_on_pct_lag2
usage_total_sec_lag2
act_eve_vehicle_pct
amb_Outside_urban_or_manmade_mean
act_eve_run_pct_rel
amb_Music_mean
wifi_rssi_mean_rel
wlight_sleep_max_rel
wifi_unique_ssids_lag2
hr_sleep_median
mlight_eve_mean_lag2
pedo_eve_speed_max_lag1
hr_sleep_std_lag1
usage_total_sec_lag3
screen_late_on_pct_lag3
hr_sleep_n
gps_lon_std_rel
pedo_day_speed_mean_lag3
act_aft_walk_pct_rel
wlight_day_max_rel
mlight_day_max
gps_alt_mean_lag1
act_day_run_pct_rel
pedo_aft_steps
wlight_sleep_mean
pedo_day_speed_max_rel
hr_day_max_rel
act_eve_walk_pct_rel
pedo_active_minutes
wlight_day_mean_rel
wlight_sleep_std
pedo_aft_kcal_rel
pedo_aft_speed_max_lag1
gps_lat_std_lag1
amb_Speech_mean_lag1
gps_n_points_lag3
usage_social_ratio
gps_alt_mean_lag3
gps_lat_std_lag3
wifi_rssi_mean_lag3
mlight_day_std_rel
act_day_walk_pct_lag3
amb_Speech_mean
act_day_vehicle_pct
act_day_run_pct
pedo_day_steps
pedo_aft_kcal_lag3
hr_day_mean_lag1
act_eve_run_pct_lag1
wifi_rssi_max_lag2
gps_lon_std_lag3
mlight_day_mean_lag2
act_morn_still_pct_rel
act_morn_vehicle_pct_lag1
hr_sleep_mean_rel
screen_on_count
act_day_walk_pct_rel
act_eve_vehicle_pct_rel
hr_rmssd_proxy
gps_alt_mean_lag2
amb_Speech_mean_rel
wlight_sleep_max
wifi_unique_ssids_lag1
pedo_aft_speed_mean_rel
amb_Music_mean_lag3
hr_day_max_lag3
screen_eve_on_pct_lag1
hr_range_rel
charge_night_pct_lag1
screen_on_pct
screen_first_on_hour_lag2
hr_sleep_n_lag3
amb_Silence_mean_rel
wlight_day_max_lag1
pedo_day_steps_rel
gps_mobility_rel
screen_eve_on_pct
gps_alt_mean_rel
usage_n_apps_lag3
hr_sleep_min_rel
act_day_vehicle_pct_lag2
act_aft_vehicle_pct
amb_Inside_small_room_mean_lag1
pedo_aft_kcal_lag1
wifi_rssi_mean_lag1
pedo_day_kcal_lag2
gps_mobility_lag1
act_day_walk_pct
pedo_eve_kcal_lag1
mlight_day_mean
wlight_day_max
pedo_aft_steps_lag2
pedo_eve_speed_max
screen_on_count_rel
act_day_still_pct_rel
gps_mobility
pedo_day_speed_mean_rel
wifi_unique_ssids
amb_Speech_mean_lag2
pedo_aft_dist_rel
screen_late_on_pct
screen_late_on_count_lag2
usage_social_sec_lag3
act_aft_vehicle_pct_lag1
hr_sleep_median_lag1
amb_Inside_small_room_mean_rel
hr_sleep_max_rel
pedo_aft_steps_lag1
mlight_dark_pct_lag1
mlight_day_max_lag2
act_aft_vehicle_pct_rel
hr_rmssd_proxy_rel
pedo_day_speed_max_lag1
screen_late_on_pct_lag1
wlight_day_max_lag3
usage_social_sec_lag1
screen_on_pct_lag3
screen_on_count_lag2
act_day_still_pct
screen_eve_on_pct_lag3
pedo_morn_speed_mean
hr_sleep_max_lag1
act_eve_sedentary_ratio_lag1
pedo_day_kcal
act_aft_walk_pct
mlight_eve_mean_lag1
pedo_morn_dist_rel
charge_pct_lag2
pedo_day_steps_lag1
pedo_day_speed_mean_lag1
pedo_eve_kcal
pedo_morn_kcal_lag1
pedo_eve_dist_lag1
pedo_day_steps_lag3
hr_range_lag3
wifi_rssi_mean
pedo_eve_speed_mean
pedo_morn_speed_mean_lag3
pedo_active_minutes_rel
usage_social_ratio_lag3
act_morn_vehicle_pct_lag3
amb_Inside_small_room_mean
hr_sleep_max
pedo_eve_steps_rel
act_morn_walk_pct_lag1
mlight_day_mean_rel
mlight_day_std_lag3
wlight_sleep_std_lag1
act_eve_sedentary_ratio_lag2
pedo_morn_speed_mean_lag2
pedo_day_speed_max_lag3
wlight_sleep_max_lag2
act_eve_still_pct
wlight_day_mean
amb_Music_mean_lag2
act_aft_walk_pct_lag3
gps_mobility_lag3
pedo_eve_speed_mean_lag1
pedo_eve_kcal_rel
amb_Vehicle_mean_rel
screen_first_on_hour
screen_on_count_lag1
pedo_aft_speed_max_rel
mlight_day_max_rel
pedo_aft_speed_max
pedo_aft_speed_max_lag2
act_aft_walk_pct_lag1
wlight_day_mean_lag1
pedo_day_speed_mean_lag2
act_day_still_pct_lag3
screen_eve_on_pct_lag2
hr_sleep_n_lag1
act_day_still_pct_lag1
pedo_day_kcal_lag3
gps_lon_std_lag1
wlight_sleep_max_lag1
amb_Vehicle_mean_lag3
mlight_day_std
wlight_sleep_mean_lag1
screen_on_pct_lag1
mlight_day_std_lag1
pedo_morn_dist
amb_Music_mean_lag1
screen_late_on_count
gps_lon_std_lag2
wifi_rssi_mean_lag2
pedo_aft_kcal
pedo_eve_speed_max_lag3
pedo_morn_speed_max_lag3
wlight_sleep_mean_lag2
hr_sleep_std_lag2
amb_Music_mean_rel
pedo_aft_speed_mean_lag1
amb_Vehicle_mean
pedo_eve_speed_max_lag2
act_eve_vehicle_pct_lag3
hr_sleep_max_lag3
screen_first_on_hour_lag3
act_morn_walk_pct_rel
hr_day_max
act_eve_vehicle_pct_lag2
screen_on_pct_lag2
wlight_sleep_max_lag3
wifi_rssi_max_lag3
gps_n_points_lag1
pedo_morn_dist_lag1
screen_late_on_count_lag3
act_morn_walk_pct_lag3
hr_sleep_mean_lag1
mlight_dark_pct_lag2
hr_sleep_min_lag1
pedo_eve_steps
hr_day_mean_lag3
wlight_sleep_std_lag3
pedo_active_minutes_lag1
hr_sleep_min_lag2
charge_night_pct_lag3
pedo_day_kcal_lag1
screen_last_on_hour_rel
pedo_aft_speed_mean
pedo_morn_speed_max
act_aft_still_pct
pedo_aft_speed_mean_lag2
pedo_eve_steps_lag2
pedo_eve_kcal_lag2
hr_sleep_median_rel
act_eve_walk_pct_lag1
amb_Outside_urban_or_manmade_mean_lag3
wlight_sleep_dark_pct_lag2
wlight_day_mean_lag2
amb_Inside_small_room_mean_lag3
pedo_morn_kcal
usage_social_ratio_lag1
screen_late_on_count_lag1
pedo_morn_kcal_lag3
pedo_day_speed_max
wlight_sleep_dark_pct_lag3
amb_Speech_mean_lag3
act_day_vehicle_pct_lag3
charge_night_pct_lag2
pedo_morn_speed_max_rel
pedo_eve_steps_lag3
pedo_morn_steps_lag2
hr_range_lag1
pedo_eve_speed_mean_lag2
act_aft_still_pct_lag3
mlight_eve_mean_lag3
pedo_morn_speed_max_lag1
hr_day_max_lag1
hr_rmssd_proxy_lag2
act_eve_sedentary_ratio_lag3
pedo_eve_kcal_lag3
gps_mobility_lag2
wlight_day_mean_lag3
gps_lat_std_lag2
pedo_active_minutes_lag2
amb_Inside_small_room_mean_lag2
mlight_day_mean_lag3
pedo_day_speed_mean
pedo_day_steps_lag2
pedo_day_speed_max_lag2
pedo_morn_speed_max_lag2
wlight_sleep_std_lag2
act_day_run_pct_lag1
amb_Outside_urban_or_manmade_mean_lag2
pedo_active_minutes_lag3
act_day_run_pct_lag2
act_morn_still_pct_lag2
act_aft_vehicle_pct_lag3
act_eve_walk_pct_lag2
hr_rmssd_proxy_lag1
screen_last_on_hour_lag2
usage_social_ratio_lag2
gps_lon_std
hr_sleep_mean_lag3
act_aft_run_pct_lag3
act_morn_run_pct_rel
mlight_dark_pct_lag3
amb_Silence_mean_lag2
wlight_sleep_mean_lag3
act_day_still_pct_lag2
usage_n_apps_lag2
hr_sleep_n_lag2
gps_n_points_lag2
act_aft_vehicle_pct_lag2
pedo_aft_kcal_lag2
hr_range_lag2
act_eve_vehicle_pct_lag1
screen_last_on_hour_lag1
pedo_aft_dist_lag3
mlight_day_mean_lag1
hr_day_max_lag2
act_day_walk_pct_lag2
act_eve_run_pct_lag3
act_eve_still_pct_lag3
screen_on_count_lag3
hr_sleep_max_lag2
act_aft_run_pct_rel
act_aft_run_pct_lag1
amb_Silence_mean_lag3
amb_Silence_mean_lag1
screen_first_on_hour_lag1
act_aft_walk_pct_lag2
pedo_morn_kcal_rel
amb_Silence_mean
hr_sleep_min_lag3
act_morn_still_pct_lag3
hr_sleep_min
act_eve_still_pct_lag2
act_aft_run_pct_lag2
hr_sleep_median_lag2
hr_sleep_median_lag3
pedo_morn_steps_lag3
pedo_morn_kcal_lag2
act_morn_still_pct_lag1
mlight_day_max_lag1
amb_Vehicle_mean_lag2
act_morn_run_pct_lag3
act_aft_still_pct_lag2
act_morn_run_pct_lag2
screen_last_on_hour
act_morn_still_pct
act_eve_run_pct_lag2
act_eve_run_pct
act_aft_run_pct
hr_sleep_std_lag3
amb_Vehicle_mean_lag1
amb_Outside_urban_or_manmade_mean_lag1
act_eve_still_pct_lag1
pedo_eve_speed_mean_lag3
act_aft_still_pct_lag1
act_morn_run_pct_lag1
usage_social_sec_lag2
act_morn_run_pct
wlight_day_max_lag2
hr_sleep_mean_lag2
hr_rmssd_proxy_lag3
