feature,importance
m_usage_usage_max_time_max_roll7_mean_96fc7c11,52.0
m_activity_m_activity_ratio_f_7_8f14e45f_fca65343,52.0
m_usage_app_time_google_play_eea79eac_roll3_mean_15936686,52.0
w_pedo_step_by_time_mean_afternoon_dea36cdd,51.0
m_ac_m_charging_by_time_mean_evening_733a593c,51.0
w_hr_hr_max_max_70d90103,51.0
m_ble_m_ble_row_rssi_std_max_dc524816,51.0
m_ac_m_charging_by_time_mean_evening_lag1_594806d4,51.0
w_pedo_step_count_825750cd,51.0
m_gps_m_gps_row_speed_std_mean_roll3_mean_1debc503,51.0
m_usage_usage_max_time_max_roll3_mean_bba77aae,50.0
m_activity_m_activity_by_time_sum_afternoon_roll7_mean_8d798ba0,50.0
m_usage_app_time_withings_cc246644_roll3_mean_26ca8300,50.0
w_hr_hr_min_min_roll7_mean_48b85887,50.0
m_wifi_m_wifi_row_rssi_std_max_6c39c9ae,50.0
m_light_m_light_by_time_mean_morning_0f4e0bfa,50.0
m_activity_m_activity_by_time_sum_night_roll7_mean_b50f86c1,49.0
m_wifi_m_wifi_row_rssi_max_min_roll3_mean_8ec8af83,49.0
w_hr_hr_min_mean_roll7_mean_d7149f27,49.0
m_ambience_ambience_prob_sum_sum_lag1_0ba6aebe,49.0
m_activity_m_activity_by_time_mean_evening_19f9692b,49.0
m_ac_m_charging_by_time_mean_morning_lag1_1e14cd1f,48.0
m_usage_app_time_x_960ebc65_960ebc65_roll3_mean_7ffdfd7d,48.0
m_activity_m_activity_mean_lag1_b74ff990,48.0
m_gps_m_gps_row_speed_max_min_roll7_mean_b28361b1,48.0
w_hr_hr_sum_mean_roll7_mean_6f085cff,48.0
w_hr_hr_mean_max_roll7_mean_ff7b90bf,48.0
m_gps_m_gps_row_speed_std_max_5facc85b,47.0
m_activity_m_activity_by_time_mean_night_roll7_mean_a604fda1,47.0
m_usage_app_time_x_ede0afe7_ede0afe7_roll7_mean_c19035d8,47.0
m_gps_m_gps_row_altitude_sum_mean_roll7_mean_218ce057,47.0
m_gps_m_gps_row_n_mean_roll3_mean_ad26057c,47.0
m_usage_usage_events_mean_roll3_mean_686941b9,46.0
m_ac_m_charging_by_time_sum_morning_roll3_mean_ba0089da,46.0
m_ble_m_ble_row_rssi_mean_std_roll7_mean_4c5f8677,46.0
m_gps_m_gps_row_latitude_mean_std_roll7_mean_fa0d0d37,46.0
m_ac_m_charging_by_time_mean_afternoon_roll3_mean_acff5e3f,46.0
m_usage_app_time_google_play_eea79eac_roll7_mean_d51ee8f1,46.0
m_ambience_ambience_prob_sum_mean_roll7_mean_f2a84c2b,45.0
m_usage_app_time_google_play_eea79eac_d3c9e7e9,45.0
w_hr_hr_sum_mean_roll3_mean_a3b6f059,45.0
m_activity_m_activity_by_time_mean_morning_roll3_mean_f5ad4e87,45.0
w_light_w_light_by_time_mean_evening_roll3_mean_199780df,45.0
w_hr_hr_max_max_roll7_mean_f9a29b4f,45.0
m_ac_m_charging_by_time_mean_afternoon_lag1_29cdd5f4,44.0
w_light_w_light_by_time_sum_morning_roll7_mean_5edcbf85,44.0
w_light_w_light_by_time_mean_afternoon_1ca0ff62,44.0
m_ble_m_ble_row_rssi_mean_max_roll7_mean_88b25d26,44.0
w_hr_hr_n_sum_c228978e,44.0
m_activity_m_activity_by_time_sum_night_roll3_mean_2f97d461,44.0
m_usage_app_time_x_f704fdcd_f704fdcd_roll3_mean_2e516042,44.0
w_hr_hr_min_min_e0549d4e,44.0
w_hr_hr_min_mean_40152ff0,43.0
w_light_w_light_max_roll3_mean_d27460d6,43.0
w_pedo_step_max_777d9a91,43.0
m_ac_m_charging_by_time_sum_afternoon_roll7_mean_d44a5f7b,43.0
m_light_m_light_by_time_mean_evening_roll3_mean_11d48e61,43.0
w_light_w_light_by_time_sum_night_c243a774,43.0
m_usage_app_time_help_cnuh24_0b8fb29b_roll3_mean_4146601c,42.0
m_light_m_light_by_time_mean_afternoon_9a872ce1,42.0
m_light_m_light_by_time_sum_night_0050fa3c,42.0
m_light_m_light_max_roll7_mean_0db13b42,42.0
m_usage_usage_total_time_max_roll7_mean_2496c644,42.0
m_usage_app_time_x_73816cb8_73816cb8_87462a01,42.0
w_hr_hr_mean_max_roll3_mean_352f366a,42.0
w_pedo_distance_by_time_mean_afternoon_cbee5d65,42.0
m_gps_m_gps_row_altitude_sum_max_roll7_mean_94b3e9fd,42.0
m_ac_m_charging_by_time_sum_morning_fe92efe9,42.0
m_usage_app_time_x_31d5a54c_31d5a54c_roll3_mean_b922b254,41.0
m_screen_m_screen_use_by_time_mean_morning_roll7_mean_39172967,41.0
w_light_w_light_sum_65b58d82,41.0
m_ambience_top_count_silence_880a7ef2_lag1_84065d4f,41.0
m_wifi_m_wifi_row_rssi_min_max_c30d368d,41.0
m_ac_m_charging_by_time_mean_morning_roll3_mean_aa3dcc5c,41.0
m_ble_m_ble_row_rssi_min_mean_lag1_88d1187b,41.0
m_ac_m_charging_by_time_mean_night_lag1_43c59082,41.0
m_usage_app_time_x_eb0f03ac_eb0f03ac_roll7_mean_b8418621,41.0
m_ble_m_ble_row_n_max_lag1_4ae86369,41.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_roll3_mean_0ba3830a,40.0
w_hr_daily_mean_97ad944b,40.0
w_hr_hr_sum_sum_9846e4a5,40.0
m_usage_usage_events_sum_6d6cdcfb,40.0
m_gps_m_gps_row_altitude_min_min_6e46fcd3,40.0
m_wifi_m_wifi_row_rssi_mean_std_b1da1683,40.0
m_ble_m_ble_row_n_mean_lag1_bab1ec34,40.0
m_gps_m_gps_row_speed_min_std_roll7_mean_58a7595b,40.0
w_light_w_light_median_roll3_mean_cbf114ff,40.0
w_light_w_light_count_roll7_mean_dbadbed3,40.0
w_pedo_burned_calories_by_time_sum_morning_43147d57,40.0
m_usage_app_time_help_cnuh24_0b8fb29b_46c59e0a,40.0
m_ambience_ambience_entropy_min_roll7_mean_b0ce0c0d,39.0
w_hr_hr_mean_mean_3a459fc2,39.0
m_ble_m_ble_row_rssi_mean_mean_lag1_759811a5,39.0
m_ble_m_ble_row_rssi_max_mean_bc37d070,39.0
m_screen_m_screen_use_by_time_mean_evening_e8126ade,39.0
w_light_w_light_std_roll3_mean_2c60bb95,39.0
m_activity_m_activity_by_time_mean_afternoon_lag1_2ea939e5,39.0
m_usage_app_time_naver_b6c7d707_roll3_mean_28aa7c1a,39.0
w_light_w_light_by_time_mean_morning_4374e742,39.0
m_activity_m_activity_count_f_3_eccbc87e_roll7_mean_ac94915b,39.0
m_activity_m_activity_by_time_sum_afternoon_roll3_mean_cc23788c,39.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_roll7_mean_0ae6eaf3,39.0
m_ble_m_ble_row_rssi_max_min_fbe95c84,38.0
m_activity_m_activity_by_time_mean_afternoon_roll7_mean_4fabef92,38.0
w_pedo_step_sum_04d0fc7e,38.0
subject_days_since_first_8f29ea17,38.0
m_ble_m_ble_row_rssi_mean_min_ce2b74d3,38.0
m_activity_m_activity_std_lag1_309d5b62,38.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_roll3_mean_d262bc19,38.0
m_ble_m_ble_row_rssi_std_max_lag1_6a9c5015,37.0
m_screen_m_screen_use_by_time_sum_afternoon_roll7_mean_036a9cad,37.0
m_activity_m_activity_sum_ebfe5b23,37.0
m_ble_m_ble_row_rssi_mean_std_4f808e2a,37.0
m_activity_m_activity_count_f_1_c4ca4238_lag1_169023e5,37.0
m_usage_app_time_withings_cc246644_roll7_mean_87f17535,37.0
m_wifi_m_wifi_row_rssi_std_min_roll3_mean_3f78365b,37.0
m_activity_m_activity_by_time_mean_morning_roll7_mean_ab96f79a,37.0
m_usage_app_time_samsung_wallet_15ecd9b2_roll3_mean_6014d051,37.0
m_usage_app_time_instagram_55f015a0_0eb6b478,37.0
w_light_w_light_by_time_mean_night_910d603b,37.0
m_screen_m_screen_use_by_time_sum_afternoon_4fe7607d,37.0
m_usage_app_time_x_9c2fc95a_9c2fc95a_240ff917,37.0
m_usage_usage_total_time_max_roll3_mean_9312cbd6,36.0
m_ac_m_charging_count_roll7_mean_b8fd95a0,36.0
m_activity_m_activity_count_f_7_8f14e45f_roll7_mean_acde366e,36.0
w_hr_hr_n_sum_roll7_mean_fd6b43db,36.0
w_light_w_light_mean_roll3_mean_0d525589,36.0
w_pedo_step_by_time_sum_morning_76099d2e,36.0
w_hr_hr_std_mean_roll7_mean_b5d8f2ba,36.0
w_pedo_burned_calories_max_8b2cfed1,36.0
m_light_m_light_by_time_sum_morning_roll3_mean_13a6fdb9,36.0
w_light_w_light_mean_roll7_mean_af44326e,36.0
m_usage_app_time_x_16a8cbbd_16a8cbbd_roll7_mean_827bbda4,36.0
m_gps_m_gps_row_latitude_std_std_roll7_mean_8e5f9a3b,36.0
w_hr_hr_max_max_roll3_mean_89fd2523,36.0
m_gps_m_gps_row_altitude_max_min_roll3_mean_bedec83e,35.0
m_ambience_top_count_mains_hum_21c205ff_roll7_mean_0b8c14f2,35.0
m_usage_usage_max_time_mean_aa64c09a,35.0
m_usage_usage_max_time_mean_roll3_mean_debca294,35.0
m_activity_m_activity_ratio_f_8_c9f0f895_roll7_mean_acb1bb2e,35.0
w_hr_hr_std_max_roll7_mean_730f7704,35.0
m_gps_m_gps_row_latitude_std_max_roll7_mean_ef6a9f62,35.0
m_wifi_m_wifi_row_n_max_2f5d4db2,35.0
w_pedo_burned_calories_sum_6c4ba887,35.0
m_usage_app_time_x_f704fdcd_f704fdcd_52a0dc9d,35.0
m_usage_usage_events_mean_763e5314,34.0
w_hr_hr_std_mean_roll3_mean_52982d69,34.0
m_gps_m_gps_row_longitude_mean_std_roll7_mean_8354a8d0,34.0
m_wifi_m_wifi_row_rssi_max_std_roll3_mean_7556b78b,34.0
m_wifi_m_wifi_row_rssi_min_max_roll7_mean_d96cc6fc,34.0
m_wifi_m_wifi_row_rssi_max_mean_daf19768,34.0
m_gps_m_gps_row_speed_sum_max_roll7_mean_ec66a5cc,34.0
m_ble_m_ble_row_rssi_std_mean_lag1_18d241ba,34.0
m_ambience_ambience_entropy_max_ddf7fb01,34.0
m_activity_m_activity_ratio_f_3_eccbc87e_lag1_53716d93,34.0
m_gps_m_gps_row_latitude_std_min_roll7_mean_6eb1b6e1,34.0
m_activity_m_activity_by_time_mean_evening_roll3_mean_980e15ca,34.0
m_gps_m_gps_row_altitude_min_max_roll7_mean_239e7e63,33.0
m_light_m_light_by_time_sum_evening_roll3_mean_74c3197e,33.0
m_ac_m_charging_by_time_sum_afternoon_lag1_1cd4bddb,33.0
m_activity_m_activity_sum_roll7_mean_95689760,33.0
m_activity_m_activity_count_f_3_eccbc87e_lag1_bb3e5781,33.0
m_ble_m_ble_row_rssi_mean_mean_roll3_mean_471c25b6,33.0
m_wifi_m_wifi_row_rssi_sum_max_roll3_mean_9143f972,33.0
m_wifi_m_wifi_row_rssi_std_min_roll7_mean_dce68606,33.0
m_light_m_light_max_b7885f6b,33.0
m_activity_m_activity_std_roll7_mean_1cda361a,33.0
m_ble_m_ble_row_rssi_max_mean_roll3_mean_d6b26531,33.0
m_ble_m_ble_row_rssi_std_min_lag1_37eae53e,33.0
m_ac_m_charging_by_time_sum_evening_58d18550,32.0
w_hr_hr_mean_std_roll7_mean_438087b8,32.0
m_light_m_light_by_time_mean_night_roll7_mean_83a7ea59,32.0
m_wifi_bssid_nunique_roll3_mean_8f7eb827,32.0
m_gps_m_gps_row_speed_max_std_roll7_mean_32bbc649,32.0
m_activity_m_activity_ratio_f_1_c4ca4238_lag1_85b88832,32.0
w_pedo_step_by_time_sum_afternoon_97d42521,32.0
m_gps_m_gps_row_n_mean_roll7_mean_ada18dc5,32.0
w_pedo_burned_calories_by_time_sum_afternoon_1605b82e,32.0
m_activity_m_activity_by_time_sum_evening_63ec331c,32.0
m_gps_m_gps_row_speed_mean_max_roll7_mean_91917d6b,32.0
m_usage_app_time_x_f0f024d9_f0f024d9_roll7_mean_5b0e498d,32.0
w_hr_hr_mean_mean_roll7_mean_97a9b433,32.0
m_gps_m_gps_row_altitude_mean_min_roll3_mean_5d01fb25,32.0
m_gps_m_gps_row_altitude_min_min_roll3_mean_eedd13d0,32.0
m_activity_m_activity_std_fd39a93e,32.0
m_wifi_m_wifi_row_rssi_max_mean_roll7_mean_c7ec8be0,32.0
m_light_m_light_std_roll7_mean_3b8d5293,32.0
m_screen_m_screen_use_by_time_mean_morning_b16c24b4,31.0
m_ambience_ambience_prob_sum_mean_0ad82062,31.0
m_usage_app_time_x_dbc38cac_dbc38cac_roll7_mean_d6f26e00,31.0
m_activity_m_activity_by_time_sum_evening_roll7_mean_2eccf658,31.0
w_hr_hr_sum_max_roll3_mean_ba1a84ad,31.0
m_ble_m_ble_row_rssi_min_std_roll3_mean_f110aeae,31.0
m_ac_m_charging_by_time_sum_morning_roll7_mean_7437de40,31.0
m_ble_m_ble_row_rssi_mean_std_lag1_a4feb9bc,31.0
w_light_w_light_by_time_sum_afternoon_083a8ac9,31.0
m_activity_m_activity_count_f_0_cfcd2084_roll3_mean_95d91a4d,31.0
m_screen_m_screen_use_by_time_sum_night_e74c2155,31.0
w_hr_hr_n_mean_a07e095c,31.0
m_gps_m_gps_row_altitude_std_max_roll7_mean_3a3f02e7,31.0
m_light_m_light_std_roll3_mean_c22211bd,30.0
life_dayofyear_sin_9a234d58,30.0
w_hr_hr_median_std_roll7_mean_cd6c9ba6,30.0
m_light_m_light_by_time_mean_night_roll3_mean_4def9a3b,30.0
w_pedo_distance_by_time_sum_morning_9d4dfa40,30.0
m_activity_m_activity_changes_lag1_32ec63b3,30.0
m_activity_m_activity_by_time_mean_evening_lag1_7365e9e3,30.0
w_hr_hr_mean_min_roll7_mean_b45c993b,30.0
w_pedo_burned_calories_std_d3d2004b,30.0
m_ac_m_charging_changes_lag1_4ffd4468,30.0
w_light_w_light_by_time_sum_evening_roll3_mean_795c184a,30.0
m_ambience_ambience_entropy_mean_e85f908c,30.0
m_activity_m_activity_mean_d60fe39d,30.0
m_wifi_m_wifi_row_rssi_max_std_roll7_mean_68a6847a,30.0
m_wifi_m_wifi_row_rssi_mean_min_roll3_mean_73fb62a3,29.0
m_gps_m_gps_row_altitude_min_min_roll7_mean_932eb974,29.0
m_ble_m_ble_row_rssi_mean_max_roll3_mean_e2cdc369,29.0
m_ble_m_ble_row_rssi_sum_max_roll3_mean_50daf74c,29.0
m_activity_m_activity_by_time_mean_afternoon_roll3_mean_518d6e35,29.0
m_gps_m_gps_row_altitude_min_std_6b07df2a,29.0
w_hr_hr_n_sum_roll3_mean_af68e3bd,29.0
life_day_44d39fcf,29.0
m_activity_m_activity_count_f_4_a87ff679_roll3_mean_2eca75df,29.0
m_wifi_m_wifi_row_rssi_std_mean_13f120f4,29.0
w_hr_hr_median_std_1da1bc15,29.0
w_pedo_burned_calories_by_time_mean_afternoon_7e7122a7,29.0
m_activity_m_activity_count_roll7_mean_df4945bc,29.0
m_activity_m_activity_by_time_mean_night_lag1_da9409cc,29.0
m_ble_m_ble_row_rssi_std_max_roll7_mean_03a03dd5,29.0
m_gps_m_gps_row_altitude_max_mean_roll7_mean_30e76907,29.0
m_ac_m_charging_by_time_mean_morning_roll7_mean_81f73cf9,28.0
m_ac_m_charging_by_time_mean_night_roll7_mean_3d55dbab,28.0
w_pedo_distance_by_time_sum_afternoon_24890485,28.0
m_gps_m_gps_row_altitude_std_mean_roll3_mean_4bf5d84f,28.0
m_wifi_m_wifi_row_rssi_max_std_4c8d301a,28.0
w_hr_hr_mean_mean_roll3_mean_69dd6770,28.0
m_usage_app_time_x_960ebc65_960ebc65_roll7_mean_8d1c5111,28.0
m_usage_usage_total_time_mean_roll3_mean_b5044a95,28.0
m_gps_m_gps_row_altitude_max_max_roll7_mean_f21c35d0,28.0
m_light_m_light_median_3a18d0c1,28.0
m_wifi_m_wifi_row_rssi_std_max_roll7_mean_c471ec4f,28.0
m_light_m_light_by_time_mean_evening_b7722bee,28.0
m_gps_m_gps_row_longitude_sum_sum_roll3_mean_98bf7110,28.0
m_ambience_ambience_prob_sum_max_roll3_mean_53de1ece,28.0
m_ambience_ambience_entropy_max_lag1_53c1506e,28.0
m_gps_m_gps_row_longitude_std_min_roll7_mean_d7a66f86,27.0
m_screen_m_screen_use_by_time_sum_evening_62ede15e,27.0
w_pedo_step_count_roll7_mean_c0c6dc3d,27.0
m_ble_m_ble_row_rssi_min_max_roll3_mean_19467c4c,27.0
m_light_m_light_count_roll7_mean_3b4d3270,27.0
m_activity_m_activity_by_time_mean_night_roll3_mean_710d4d64,27.0
m_wifi_m_wifi_row_rssi_std_mean_roll7_mean_b56cf349,27.0
m_ble_m_ble_row_rssi_std_max_roll3_mean_29450bcd,27.0
m_usage_app_time_x_6ab9a8a0_6ab9a8a0_roll7_mean_08447280,27.0
m_usage_app_time_help_cnuh24_0b8fb29b_roll7_mean_cc76c192,27.0
m_wifi_m_wifi_row_rssi_sum_sum_roll3_mean_0f812854,27.0
m_wifi_m_wifi_row_rssi_std_std_roll7_mean_c83e55c6,27.0
m_ac_m_charging_by_time_sum_evening_lag1_a68d12d1,27.0
m_ambience_ambience_entropy_std_da8971cf,27.0
m_gps_m_gps_row_speed_min_max_roll7_mean_175cc56e,27.0
m_usage_usage_events_sum_roll3_mean_50b9db73,27.0
m_activity_m_activity_count_f_8_c9f0f895_roll7_mean_a17b4bc3,27.0
m_ambience_ambience_entropy_std_lag1_66153749,27.0
m_activity_m_activity_ratio_f_0_cfcd2084_5e9f36d0,27.0
m_light_m_light_max_roll3_mean_1ffd29a3,26.0
m_ble_m_ble_row_rssi_mean_min_roll3_mean_25df48f1,26.0
m_gps_m_gps_row_altitude_min_std_roll7_mean_d0d1670f,26.0
m_light_m_light_by_time_mean_morning_roll3_mean_d681db87,26.0
m_light_m_light_by_time_sum_morning_roll7_mean_a85e114e,26.0
w_hr_hr_max_mean_roll3_mean_da9b3a0c,26.0
m_ble_m_ble_row_rssi_min_min_roll7_mean_f532f0e9,26.0
m_wifi_m_wifi_row_rssi_std_std_roll3_mean_c3f73df0,26.0
m_gps_m_gps_row_altitude_mean_std_e145da99,26.0
m_activity_m_activity_std_roll3_mean_3b707422,26.0
m_ac_m_charging_count_roll3_mean_58be3ade,26.0
m_usage_app_time_samsung_wallet_15ecd9b2_roll7_mean_ada9d853,26.0
m_ble_m_ble_row_rssi_max_max_roll3_mean_74e69ca7,26.0
m_wifi_m_wifi_row_rssi_sum_sum_76aa122d,26.0
m_usage_app_time_x_eb0f03ac_eb0f03ac_roll3_mean_a9ca7579,26.0
m_ambience_ambience_n_sum_roll3_mean_f43ca366,26.0
m_gps_m_gps_row_longitude_sum_mean_roll7_mean_a7cf395a,26.0
m_gps_m_gps_row_longitude_sum_max_roll7_mean_5bf6fb61,26.0
m_ambience_ambience_top_prob_std_roll3_mean_35fc3275,26.0
w_light_w_light_max_dbf70195,26.0
m_gps_m_gps_row_speed_min_mean_roll3_mean_f045ebd1,25.0
m_wifi_m_wifi_row_n_max_roll7_mean_440d464b,25.0
m_ambience_ambience_prob_sum_sum_407d73e4,25.0
m_ambience_ambience_prob_sum_sum_roll3_mean_4de39adb,25.0
m_ble_m_ble_row_rssi_min_std_roll7_mean_c661e904,25.0
m_gps_m_gps_row_speed_max_mean_roll3_mean_54007fdf,25.0
m_activity_m_activity_count_f_3_eccbc87e_0313a42d,25.0
m_wifi_m_wifi_row_rssi_max_max_roll3_mean_63cce1dd,25.0
m_gps_m_gps_row_altitude_sum_sum_roll3_mean_9a0c8253,25.0
m_light_m_light_sum_cfdbf07f,25.0
m_screen_m_screen_use_by_time_mean_afternoon_9da7fd30,25.0
m_activity_m_activity_count_f_7_8f14e45f_lag1_ea653529,25.0
w_pedo_burned_calories_by_time_mean_morning_bdb7960f,24.0
m_activity_m_activity_by_time_mean_evening_roll7_mean_54803313,24.0
m_activity_m_activity_mean_roll7_mean_ca71c248,24.0
m_wifi_m_wifi_row_n_sum_roll3_mean_d415b69e,24.0
m_usage_usage_max_time_mean_roll7_mean_1676d43a,24.0
m_gps_m_gps_row_altitude_std_std_roll7_mean_586cd19f,24.0
m_ac_m_charging_sum_lag1_0555e711,24.0
m_ac_m_charging_by_time_sum_night_lag1_8c51d75e,24.0
m_gps_m_gps_row_altitude_min_mean_roll7_mean_8af346e1,24.0
m_usage_app_time_x_73816cb8_73816cb8_roll3_mean_092490fd,24.0
m_ac_m_charging_by_time_sum_night_roll7_mean_563e9950,24.0
m_activity_m_activity_changes_roll3_mean_0f7e08ad,24.0
m_usage_usage_total_time_sum_697fa1d7,24.0
w_hr_hr_sum_max_roll7_mean_0d513b0e,24.0
w_hr_hr_min_mean_roll3_mean_3e976d33,24.0
m_activity_m_activity_mean_roll3_mean_34b33cd5,24.0
w_pedo_step_count_roll3_mean_45de5801,24.0
m_ble_m_ble_row_rssi_std_std_lag1_2523cf11,23.0
m_activity_m_activity_count_f_0_cfcd2084_roll7_mean_dcbe6a9d,23.0
m_ac_m_charging_sum_f4f4a5b4,23.0
m_wifi_m_wifi_row_n_max_roll3_mean_d322d0be,23.0
m_screen_m_screen_use_changes_roll7_mean_0a542ed4,23.0
m_wifi_m_wifi_row_rssi_mean_min_eeb257ce,23.0
w_hr_hr_n_mean_roll7_mean_60fee0e3,23.0
m_activity_m_activity_count_f_3_eccbc87e_roll3_mean_df7d318a,23.0
